,date,title,isEdited,userName,review,rating,Company_name
30,2021-01-02 08:11:19,Ridiculous app,False,Calimomoftwins,"This app allows you to order food for delivery. However, if you only receive half your order, good luck trying to reach them about it. The restaurant doesn’t answer their phone, and there’s no where on the app to report issues. If you choose “contact us”, it takes you online to create an account. But I have an account, let me sign in. Sign in, then click “contact us”, takes you back to create an account. An endless circle and cheated out of half my order.",1,Boston Market
31,2020-11-12 14:13:51,It could be great,False,Kevin Inertia,I’m not interested in knocking the app but if you want to make it better look at the chipotle app. You should have a barcode to help keep track of rewards. If the cashier doesn’t ask when you check out ( and they don’t) you have to remind them. Hopefully they’ll get it right but that is doubtful. Youre  missing a big opportunity here. Time to get it right.,3,Boston Market
32,2019-11-19 18:20:55,App Needs Work,False,Consumers Matter,"The first time I tried ordering through the App I made it through the payment, even received an alert text from my bank for the charge. Went to the restaurant and was informed they never received my order. Had to reorder while there and my total was $3 less in store, than online for the same thing? Eventually the online charge was credited to my account. Tried ordering through the App a second time and it keeps crashing on me. Usually never write reviews, so that says something about this App.",1,Boston Market
33,2020-03-07 13:14:56,Great rewards!,False,Tbone8210,Boston Market rewards program is better than others because you can redeem points for either free food or just get $10 or $20 off orders.  A lot of options unlike others that just give you one choice.,5,Boston Market
34,2022-02-06 22:23:11,Tech update,False,Emthethird,"The food and customer were great as always! On the all however, it doesn’t give any way to let the store know you’re there to pick up the order. Thats the only concern I have. Otherwise thank you.",5,Boston Market
35,2021-09-21 23:45:49,Awful App for Restaurant,False,user9067533684,"I have never seen an app where you can’t minus or add ingredients such as don’t add lettuce or please add gravy. The special instructions box is so character limited it’s pointless. Then if you try to pay, you’ll randomly get errors like the pay sum is different than the total even though the app calculates both and you have zero say. Unfortunately the Boston Market by me is online order only and they’ve lost a 24 year customer due to aterrible app and service.",1,Boston Market
36,2018-07-23 23:39:31,A waste of time,False,Rebecca AS,"The app itself worked fine, but it didn’t expedite the ordering process at all! The fastest I could get an order complete it with asked asap, 20 minutes. I arrived after the time it said my order should be ready. Not only was it not ready, but they told me it needed to be prepared and the wait staff was very rude. There was no skip the line option. And then I waited over 20 minutes for them to prepare it. To top it all off, they would’ve gotten my order incorrect, if I hadn’t caught it. Terrible experience!",1,Boston Market
37,2021-11-11 20:57:23,App Isn’t Reliable,False,Josh52010,"I placed an order and the order never went through, yet the money was removed my account. There is no record in their system for the order and no way to get a refund. Currently still waiting if someone will return my call to assist, but as of now, I am out of the money and left to suffer. The app states the order was fulfilled yet in store there is no proof and forces me to be out of the money and wait to maybe have someone reach out. May update late.",1,Boston Market
38,2020-10-08 14:14:42,Beware,False,Raji108,The prices on the app are higher than the store. I thought this was an error no they respond to me and explain it’s done on purpose for deliver orders like door dash. I did a take out order and was infuriated when they didn’t have it ready and didn’t have items I paid for. What’s worse is they would only reimburse me the items value for the in store price. As far as I’m concerned they stole almost ten dollars from me on a family order and not so much as a we’re sorry,1,Boston Market
39,2021-10-14 23:05:20,How did such an error make it into the app?,False,Mike Goodson,"“The sum of your selected payment methods must equal the order total.” There’s not even a way to edit the amount. I simply added a credit card and tried to place the order. The amount shows up as negative the order total under my credit card on the checkout screen. What? Long story short, app doesn’t work 👎🏻

Seeing I’m not the first one to experience this issue. It was reported over a YEAR ago 😾",1,Boston Market
40,2018-11-22 01:32:09,So good!,False,writer57,"Every Thanksgiving when I’m away from family, I come here and order practically everything. The turkey, the sides, and the desserts all were fresh, hot, and yummy. I only wish you had the complete seasonal menu on your app. For example, I had to call the store to see if there was pecan and pumpkin pie (there was).",5,Boston Market
41,2019-06-07 23:29:11,App is good; store not so much,False,AEJJMC,"App was easy and very quick. But getting to the store the screen says ready, app says ready, and the workers are all standing there with no order ready. First time online ordering and sad to say it’s done for the convenience and fast service and I did not get that today. Will be hesitant to even come here again, and I haven’t been in years! Looks like will be more years....",3,Boston Market
42,2020-07-27 15:22:51,Kissimmee Florida,False,Tennisfan63,I love my Boston Market with the exception of curbside. I placed the order while at work which is 30 minutes away pulled up and still had to wait another 19 minutes for my food to come out. It’s quicker just to do drive thru.,5,Boston Market
43,2019-03-23 03:07:13,No support for Apple pay or ability to buy prime rib dinners,False,Guajaal,"App requires you to enter a credit card to save with Boston Market, will not accept credit cards already stored on phone or apple pay. Also no ability to support apple pay in stores for whatever reason.

No ability to order prime rib through app even when you can visually confirm the location has prime rib. Staff not empowered to work around these issues in store. I guess I'll just hold onto my money until BM decides to join us in the current day.",1,Boston Market
44,2020-12-17 02:22:59,App is great for ordering/paying,False,eyhung,"While the app is great for placing your order, the biggest hurdle is when you try to do curbside pickup. You call the seemingly local number to let them you’re here, and have to navigate a phone tree. Then the line just rings and no one from the store answers.",4,Boston Market
45,2021-12-29 16:40:58,Best home cooked food taste !,False,onesonofagun,We’ve been ordering our Boston Market food for years now.   The high quality of its home cooked taste makes us happy.   We will continue being a huge fan & frequent this fine establishment !  Thankyou so much .,5,Boston Market
46,2020-04-09 08:34:08,Love boston market,False,avsmilro,My family and I order boston market very often and it’s so easy to order using the app the service and food is top notch! define let recommend ordering from them!,5,Boston Market
